feature,mean_decrease_gini,std,order_importance,original_order
Syto9_fluo/PI_fluo,0.36663196200695963,0.008882095952681255,1,13
PI_fluo_time_norm,0.16251697692587366,0.0007309842680535631,2,11
PI_fluo,0.16119300204652473,0.0005393277381125677,3,9
Syto9_fluo,0.12645852355545897,0.03601424772754524,4,5
PI_fluo_size_norm,0.08513103975585933,2.4892950539311455e-05,5,12
Syto9_fluo_time_norm,0.03666776796177417,0.27727195803885807,6,7
Syto9_fluo_size_norm,0.029039875947132532,0.08333714996601996,7,8
Syto9_background,0.01786385034005286,0.12347550598327424,8,6
Minimal_radius,0.009236528042291057,0.12391368354704388,9,3
PI_background,0.004089696807021836,0.2895564944095114,10,10
Total_area,0.0009465036994369589,0.020335179181374136,11,0
Diameter,0.00011505807615470595,0.3165698252024108,12,1
Maximal_radius,0.00010337856035235703,0.23927779934199392,13,2
Minimal/maximal_radius,5.836275107103131e-06,0.4344359235736565,14,4
